item,title,description,img_url,product_url,latitude,longitude,price,delivery,dates,extended_attributes,seller_names,new_row
m2154356889,Pentax SP-F spiegelreflexcamera met Metz flitser,Asahi pentax spotmatic f spiegelreflexcamera. Camera voorzien van p-draad. Analoog. Met een metz 45-ct1 staafflitser. Flitser voor,https://images.marktplaats.com/api/v1/listing-mp-p/images/45/45adc48a-80a8-42e9-99b6-908c2d93afcb?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2154356889,53.155534171016,6.6404003191105,0.0,Ophalen,4 sep 24,Ophalen,Regina,False
m2157114848,Pentax K1000 35mm SLR met Pentax 50mm lens,Vintage asahi pentax met smc pentax-m 1:1.7 50Mm lens en lensdop. Alle functies zijn getest en werken naar behoren behalve de lich,https://images.marktplaats.com/api/v1/listing-mp-p/images/62/628dedfc-1135-4482-be85-35e2fa5bb499?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2157114848,52.165690259939,4.5306988584286,125.0,Ophalen of Verzenden,11 sep 24,Ophalen of Verzenden,SV,False
m2153348226,Pentax Asahi vintage,Complete set incl koffer origineel,https://images.marktplaats.com/api/v1/listing-mp-p/images/52/524c5d72-5685-4360-b234-edb5a52f1dfe?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2153348226,51.737334310504,5.5237227112713,500.0,Ophalen of Verzenden,1 sep 24,Ophalen of Verzenden,Saskia,False
m2171944963,Super Takumar 50mm F1.4 op vintage Spotmatic camera,Deze stijlvolle spotmatic van asahi pentax is een heerlijke vintage camera. Hij staat bekend om zijn gebruiksgemak en degelijke bo,https://images.marktplaats.com/api/v1/listing-mp-p/images/35/3548770c-c92f-4ed2-8e67-b8ef3c112e59?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2171944963,52.403959196306,4.9204880081916,0.0,Ophalen of Verzenden,5 okt 24,Ophalen of Verzenden,J,False
m2132128093,Asahi Pentax S1a met standaard 55 mm objectief en een 80-200,Kleinbeeld spiegelreflex camera met satndaard objectief en 80-200 zoom objectief.,https://images.marktplaats.com/api/v1/listing-mp-p/images/0d/0dc36451-36b1-4006-87d5-082b90440e6c?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2132128093,51.993897799746,5.9744602118588,100.0,Ophalen,2 jul 24,Ophalen,F.W. Simon,False
m2156361772,"Pentax Asahi SV, S1a, Super Takumar 135/2.5, 70mm f2.8 lens","De fotograaf verkoopt spullen of dunt zijn collectie uit. Pentax asahi sv, pentax asahi s1a, lens super multi coated takumar 135mm",https://images.marktplaats.com/api/v1/listing-mp-p/images/b5/b58a6f77-541d-49e6-8eb1-695c69a6e025?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2156361772,52.073417094638,4.3046471306691,0.0,Ophalen of Verzenden,9 sep 24,Ophalen of Verzenden,DH,False
m2170721295,Pentax PC-303 point and shoot camera,Te koop pentax pc-303 point and shoot camera camera werkt prima de pentax pc-303 is een lichte plastic 35 mm compacte point-and-sh,https://images.marktplaats.com/api/v1/listing-mp-p/images/f4/f4d574cf-8ca7-473f-b06e-27e08ba0d7e4?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2170721295,51.895021554984,4.5656448193976,25.0,Ophalen of Verzenden,4 okt 24,Ophalen of Verzenden,cornelis,False
m2158065748,Pentax Asahi 35mm camera - D.D.R lens 4/200,Pentax asahi 35mm camera - d.d.r lens 4/200,https://images.marktplaats.com/api/v1/listing-mp-p/images/47/476c891e-457b-4987-b23c-f4cbbd2c3f04?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2158065748,53.192456505924,6.5576752701827,0.0,Ophalen of Verzenden,14 sep 24,Ophalen of Verzenden,TDV,False
m2140637719,Asahi pentax spotmatic auto revuenon 50 1;1.9 Japan,Asahi pentax spotmatic auto revuenon 50 1;1.9 Japan gebruiksaanwijzing aanwezig. Analoog fotograveren is prachtig. Meer diepte mee,https://images.marktplaats.com/api/v1/listing-mp-p/images/b7/b75ab54c-aa98-434b-b32c-527534726469?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2140637719,51.64495077393,4.592488100514,300.0,Verzenden,27 jul 24,Verzenden,Thea,False
m2135292137,PENTAX asahi SP1000 Fotocamera body + Lens SMC TAKUMAR,Pentax asahi sp1000 fotocamera body + lens en tas + band,https://images.marktplaats.com/api/v1/listing-mp-p/images/78/78fff9c0-0410-4999-8994-6e4e0e20909c?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2135292137,51.530852410943,4.435120080705,100.0,Verzenden,10 jul 24,Verzenden,Richardk,False
