item,title,description,img_url,product_url,latitude,longitude,price,delivery,dates,extended_attributes,seller_names,new_row
m2176303319,Mamiya 7 met 65 mm objectief,Mamiya 7 met het juiste objectief voor deze camera. Afgesteld en goede staat.,https://images.marktplaats.com/api/v1/listing-mp-p/images/7b/7bef87ba-1291-4bfa-816d-9405cd8d2d79?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2176303319,52.371575298382,4.8601982069621,0.0,Ophalen of Verzenden,11 okt 24,Ophalen of Verzenden,Bouwmeester,False
m2162732729,Mamiya C3 professional met toebehoren,Mamiya c3 professional tlr camera met mamiya-sekor 80mm 1:2.8 Lens / objectief en een 135mm lens  inclusief: -aluminium koffer met,https://images.marktplaats.com/api/v1/listing-mp-p/images/d5/d5e6b2ea-01bc-4f61-b1b3-d477e1e7d01c?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2162732729,51.111249744319,5.8545708101382,375.0,Ophalen of Verzenden,25 sep 24,Ophalen of Verzenden,Salvaged By Max,False
m2179697843,Mamiya RZ67,Wegens overstap naar digitaal aangeboden: mamiya rz67 met de prachtige mamiya sekor 100mm f2.8) En de mamiya sekor 180mm f4.5. Ook,https://images.marktplaats.com/api/v1/listing-mp-p/images/97/97d2dda7-fbb6-4c79-95e6-523327193a1b?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2179697843,52.366403121923,4.8840157474416,1000.0,Ophalen,Gisteren,Ophalen,Ruben,False
m2180575209,"Mamiya 645 met 45mm 2.8, 80mm 2.8, 150mm 4 en prism finder","Met pijn in het hart te koop: mamiya m645 met 45mm f2.8, 80Mm f2.8, 150Mm f4 en gemeterde prism finder (licht meter werkt perfect,",https://images.marktplaats.com/api/v1/listing-mp-p/images/70/7028d14a-3940-4bcb-8623-bdd30458d8d1?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2180575209,51.915957384555,4.3929779770429,700.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,Guido,False
m2177592625,Mamiya 645 prism finder,Optisch in near mint staat maar de lichtmeter is niet betrouwbaar.,https://images.marktplaats.com/api/v1/listing-mp-p/images/45/454ca184-7797-4adb-ad58-745f95df4b99?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2177592625,52.411780226335,4.8899967199083,120.0,Ophalen of Verzenden,13 okt 24,Ophalen of Verzenden,Kees,False
m2158745548,Mamiya 645 Analoog Camera,Merk: mamiya 645 analoog camera. Met losse handgreep. Met gebruiksaanwijzing. Jaar: 1975 tot 1987. Met koffer.,https://images.marktplaats.com/api/v1/listing-mp-p/images/61/610e50b9-695c-453f-92c2-2e8767b95f70?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2158745548,52.009346343616,4.6949291726368,475.0,Ophalen of Verzenden,16 sep 24,Ophalen of Verzenden,Peter's Rommelhoekje,False
m2168469539,Mamiya 645,Wegens het aanschaffen van een andere camera is deze overbodig geworden.,https://images.marktplaats.com/api/v1/listing-mp-p/images/01/01766155-57aa-4e4a-bae9-460cb3b24b42?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2168469539,53.232072340065,6.5704877906586,350.0,Ophalen of Verzenden,1 okt 24,Ophalen of Verzenden,NRundervoort,False
m2170745345,Mamiya 500 DTL in zeer goede staat zie de duidelijke Foto's,In zeer goede staat verkerende mamiya 500 dtl zie de duidelijke foto's prijs bieden!! Graag geen mailtjes met wat moet hij kos,https://images.marktplaats.com/api/v1/listing-mp-p/images/01/0164c4f2-39a2-483e-9690-03e2c2c12c9c?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2170745345,51.872667752568,4.155976362015,0.0,Ophalen of Verzenden,4 okt 24,Ophalen of Verzenden,martin,False
m2167658009,Mamiya c330 met 80mm en zonnekap,Alles werkend weggelegd x aantal jaar geleden. Met een pak npz 800 om te testen (houdbaarheid 2007 dus dat moet iets moois oplever,https://images.marktplaats.com/api/v1/listing-mp-p/images/bc/bc29d35c-6130-4e7b-9a91-4c36708d9518?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2167658009,52.458128001862,4.8103502703109,0.0,Ophalen of Verzenden,30 sep 24,Ophalen of Verzenden,Arton,False
m2159988397,Mamiya RB67 + 90mm 3.8 + 2 backs in alu koffer,Deze zeer nette camera gebruik ik te weinig om het bezit te rechtvaardigen dus wil ik er iemand anders blij mee maken. Alles werkt,https://images.marktplaats.com/api/v1/listing-mp-p/images/ae/aea7237a-3052-4e2d-97ea-906705f5e0b7?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2159988397,52.404451214133,4.6520255518722,500.0,Verzenden,19 sep 24,Verzenden,AT023,False
m2177203449,Mamiya ZM analoge kleinbeeld spiegelreflex camera met lensen,"Werkende camera met goede lightseals. Lensen 50 mm, 35 mm, 28 mm en 135 mm.",https://images.marktplaats.com/api/v1/listing-mp-p/images/22/226e703a-54a3-41da-ac3c-fdf87b532323?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2177203449,51.918736982672,6.3690151186193,225.0,Ophalen of Verzenden,13 okt 24,Ophalen of Verzenden,Piet,False
m2172537979,Mamiya ZE met Mamiya secor50 mm 1;1.7 lens camera,Deze camera is in zeer mooie staat hij werkt alleen de zelf ontspanner moet soms worden geholpen de camera heeft een uv filter en ,https://images.marktplaats.com/api/v1/listing-mp-p/images/22/220328b5-cff6-4025-acd9-b2c797fa41d8?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2172537979,52.678292465632,4.8498024643326,0.0,Ophalen of Verzenden,6 okt 24,Ophalen of Verzenden,Henk,False
m2177821575,Manual instructieboekje Mamiya 645 1000s,Manual instructieboekje mamiya 645 1000s,https://images.marktplaats.com/api/v1/listing-mp-p/images/07/0723cad7-a792-41f9-b94d-1f6a24edb370?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2177821575,52.411780226335,4.8899967199083,0.0,Ophalen of Verzenden,13 okt 24,Ophalen of Verzenden,Kees,False
m2174071149,Twee analoge kleinbeeldcamera's met toebehorende,Twee analoge kleinbeeldcamera's voor film met bijbehorende accessoires bestaande uit: mamiya sekor camera 500 dtl met p- schro,https://images.marktplaats.com/api/v1/listing-mp-p/images/be/be53b82c-5bcc-4b1e-b053-5069f903fd85?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2174071149,52.55007484664,4.91617517941,0.0,Ophalen,8 okt 24,Ophalen,Jobsis,False
m2154450004,Mamiya 645E + Sekor C 80mm f2.8,"Mamiya 645e in perfect condition as recently fully serviced. Body outside in good condition too, no big scratches whatsoever. Come",https://images.marktplaats.com/api/v1/listing-mp-p/images/92/92d481f6-c539-461b-9be9-ed9ccd2bd1ed?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2154450004,52.340810304376,4.9022666810522,525.0,Ophalen of Verzenden,4 sep 24,Ophalen of Verzenden,Justus de Rode,False
m2172501077,Mamiya 135 Analoge fotocamera,Alleen ophalen,https://images.marktplaats.com/api/v1/listing-mp-p/images/ae/ae3c8c4d-afe4-4eca-9afb-a3ff3f1a25eb?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2172501077,53.230921607217,6.5297900144432,30.0,Ophalen,6 okt 24,Ophalen,de vries,False
m2168120499,Mamiya 645 + 80mm f2.8 and 150mm f4,"Great conditions, bought from fotohandel with the 80mm. The 150mm was bought from b&h in new york.",https://images.marktplaats.com/api/v1/listing-mp-p/images/92/92a70aff-9455-432c-96ee-6954b50dccba?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2168120499,52.378421463689,4.6301286801647,1100.0,Ophalen,30 sep 24,Ophalen,Kelly Rosa,False
m2167592503,MAMIYA NC 1000s,Mamiya nc 1000s - uniek collectors item - werken en goede staat,https://images.marktplaats.com/api/v1/listing-mp-p/images/6f/6f04b3f6-6fc5-403e-bd35-3fd8dc46c6de?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2167592503,52.314942671406,4.9781780157973,100.0,Verzenden,30 sep 24,Verzenden,Jurriaan,False
m2157724548,"Mamiya RB67 Pro (inc. 90mm, 250mm, 2x back en koffer)",Bij deze mijn mamiya rb67 pro omdat ik alleen nog digitaal werk. Alleen alles in 1 te koop: - mamiya rb67 pro - 90mm 3.8 - 250Mm 4,https://images.marktplaats.com/api/v1/listing-mp-p/images/99/99c4f30a-4237-4247-b29a-fbd16f8815b6?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2157724548,51.930721756553,4.460809787572,0.0,Ophalen,13 sep 24,Ophalen,Thomas,False
m2143865351,Mamiya 645 Pro met CN 80mm en CN 150mm lens,"Nette mamiya 645 pro camera, jaar geleden nog verschillende rolletjes mee geschoten, sindsdien niet meer gebruikt (vandaar ook de ",https://images.marktplaats.com/api/v1/listing-mp-p/images/14/1482c866-38d9-4ac2-a004-ac9e8723629c?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2143865351,51.874121607277,4.98776877475,900.0,Ophalen of Verzenden,5 aug 24,Ophalen of Verzenden,van Bladel,False
m2165647269,Mamiya rangefinder camera,Goed werkende mamiya rangefinder camera,https://images.marktplaats.com/api/v1/listing-mp-p/images/ab/ab0c18cf-eb4f-4436-9177-2ca4d065f503?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2165647269,53.201404990526,5.7893787382226,0.0,Ophalen of Verzenden,27 sep 24,Ophalen of Verzenden,ladresse,False
m2173327035,"Mamiya- Sekor 500TL body (mist ""sluitertijden aanduiding"")",Spant en ontspant maar mist sluitertijden aanduiding op sluitertijden instelling (zie foto). Wordt verkocht als defect vandaar de ,https://images.marktplaats.com/api/v1/listing-mp-p/images/1a/1a64687d-0028-4ad2-a225-7336ada3db8a?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2173327035,50.971321178746,5.976863775125,9.99,Ophalen of Verzenden,7 okt 24,Ophalen of Verzenden,wil,False
m2149908218,Mamiya RZ67 + 65mm,"Works perfectly, very nice condition. One of the focus wheels is missing (see photo 4), hence the low price! The camera can be use",https://images.marktplaats.com/api/v1/listing-mp-p/images/21/21d127c4-4ef7-4c14-b4d7-ebcc9efb45bd?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2149908218,50.848572436218,5.7059300409606,800.0,Ophalen,26 aug 24,Ophalen,Andrei Baicu,False
m2154660668,Mamiya M645 Medium Format film camera,Mamiya m645 met een waist level viewfinder. Werkt naar behoren. Professionele camera van mamiya voor middelformaat film.,https://images.marktplaats.com/api/v1/listing-mp-p/images/c5/c52f6124-77a5-4b6d-a823-f1a475d8b368?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2154660668,52.856519762954,6.9892334075379,0.0,Ophalen of Verzenden,5 sep 24,Ophalen of Verzenden,Jur,False
m2146770101,Mamiya Rb67 professional,"Met een sector 1:3.8 F127mm lens alle lightseals vorig jaar vervangen, werkt zoals hij hoort. Met ingebouwde lichtmeter in de zoek",https://images.marktplaats.com/api/v1/listing-mp-p/images/3a/3adc4e94-383e-4a9e-b975-af35253f5a8d?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2146770101,53.112765746593,6.2062357513807,750.0,Ophalen of Verzenden,14 aug 24,Ophalen of Verzenden,SG,False
m2139174692,Mamiya 645,"Nog steeds te koop ( 15.10.2024 ) Mamiya 645 en toebehoren ; - handgreep - 3 lenzen ( 55 mm , 80 mm , 150mm ) -filters - 2 zoekers",https://images.marktplaats.com/api/v1/listing-mp-p/images/ad/ad14351a-7292-4277-8927-f9803e91ebba?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2139174692,52.004446357344,4.1589350679684,900.0,Ophalen of Verzenden,20 sep 24,Ophalen of Verzenden,Anna82,False
m2165182259,Mamiya Press Universal met 2 film backs,Mamiya press universal camera met 6x9 casette en dark slide. Voor 120/220 rolfilm. Met 100 mm f3.5 Lens. Inclusief tweede casette ,https://images.marktplaats.com/api/v1/listing-mp-p/images/90/9083194f-8593-40e0-8799-2b892071bc40?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2165182259,52.248260248382,6.1384939707298,950.0,Ophalen of Verzenden,26 sep 24,Ophalen of Verzenden,M/other in Art,False
m2164652349,Medium format 3d print camera (6x7),Te koop is deze humby super 67 3d printed camera met: - mamiya pro s film back met dark slide - mamiya sekor p 75mm f5.6 F/5.6 Len,https://images.marktplaats.com/api/v1/listing-mp-p/images/e1/e13223df-dc5a-45b9-8cbd-02a2a15d59aa?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2164652349,51.990885535418,4.4572894820744,475.0,Ophalen,29 sep 24,Ophalen,Jorgen,False
m2138436678,Mamiya RB67 + 2 lenzen / 3 filmbacks / meer,"Ik doe mijn mamiya rb67 pro-s in de verkoop, in zo-goed-als-nieuwstaat, technisch én cosmetisch. Met 65mm en 127mm lens. Setje is ",https://images.marktplaats.com/api/v1/listing-mp-p/images/a4/a44725c5-5e28-4344-9db6-00c0d0ecc520?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2138436678,52.158708616551,5.4069713785033,850.0,Ophalen,14 aug 24,Ophalen,Thijs,False
m2136890557,Polaroid 600 SE Camera Fuji FP 100 Mamiya 127 Press Instant,Polaroid 600 se camera fuji fp 100 mamiya 127 press instant 600se prachtige camera! Vaste prijs! Sx70 sx 70 185 190 195,https://images.marktplaats.com/api/v1/listing-mp-p/images/32/3276fb29-1aa1-47f5-9112-1b4ae417a9ee?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2136890557,52.623247346877,4.7399505349611,795.0,Ophalen of Verzenden,15 jul 24,Ophalen of Verzenden,HW,False
m2144804838,Mamiya EE,Zeer nette en goed werkende mamiya ee. Met de originele hoes. Is altijd goed bewaard. De sluiter lijkt goed te werken,https://images.marktplaats.com/api/v1/listing-mp-p/images/48/48d77bc0-cf8d-4861-8cbe-76287a2c48ca?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2144804838,52.051596470172,5.2359339443978,37.5,Verzenden,8 aug 24,Verzenden,Rowan,False
m2178576885,mamiya myrapid camera fototoestel,Beste verkoop mamiya myrapid camera fototoestel prijs 15 interesse stuur me een berichtje zie ook eens mijn andere advertenties,https://images.marktplaats.com/api/v1/listing-mp-p/images/2e/2e1aac33-e7a2-438d-b788-3b1991829e45?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2178576885,51.644083426564,5.2896558478237,15.0,Ophalen of Verzenden,14 okt 24,Ophalen of Verzenden,wendy,False
m2121624386,Mamiya RZ67 izgs incl drie objectieven,"Deze mamiya rz67 is een puike set, in zeer goede staat!! En heeft de charme van het 6x7 opnameformaat, wat veel bekende fotografen",https://images.marktplaats.com/api/v1/listing-mp-p/images/8f/8fde1495-4f7a-4e3a-b242-415c12f68386?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2121624386,52.141929040373,5.4364024401097,1470.0,Ophalen of Verzenden,14 sep 24,Ophalen of Verzenden,arnold,False
m2151139996,Mamiya MYRAPID,In werkende staat. De conditie is gebruikt. Verzending op eigen risico.,https://images.marktplaats.com/api/v1/listing-mp-p/images/fe/fecd537d-9020-4b8a-8a6b-374d2e43804f?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2151139996,52.506636811685,4.7612877838246,0.0,Ophalen of Verzenden,26 aug 24,Ophalen of Verzenden,de Zwarte,False
m2141174786,"Mamiya C220 met instructieboekje, filmrollen",Mamiya c220 met instructieboekje en filmrollen en lichtmeter,https://images.marktplaats.com/api/v1/listing-mp-p/images/94/94386f3e-e85d-4596-8445-2a061b2d2bea?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2141174786,51.800456439848,5.3263708076668,925.0,Ophalen of Verzenden,28 jul 24,Ophalen of Verzenden,Versteeg,False
m2171071289,Mamiya ZE Quartz + 50mm F2 Lens (Leeuwarden),"Mamiya ze quartz met 50mm f2 lens de mamiya ze quartz is een geavanceerde 35mm spiegelreflexcamera uit de vroege jaren '80, on",https://images.marktplaats.com/api/v1/listing-mp-p/images/43/43a7269a-cbcb-4fe0-834b-0d80e16f67fc?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2171071289,53.204613564997,5.8012066497565,99.0,Ophalen of Verzenden,4 okt 24,Ophalen of Verzenden,Foto-Groep Leeuwarden,False
m2137368590,Mamiya M645,"Mamiya m645 analoge medium format camera. Hele mooie set. Inclusief: body 150mm 3.5 Lens, ook een erg fijne lens voor portretten. ",https://images.marktplaats.com/api/v1/listing-mp-p/images/ee/ee420a4b-367f-476a-b7ed-39c3f215a90f?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2137368590,51.447916491516,5.4843462118613,370.0,Ophalen of Verzenden,16 jul 24,Ophalen of Verzenden,Sam,False
m2176014721,Contax iiia + cz sonnar 50mm,"Zeiss ikon contax iiia in uitstekende staat. Alles werkt perfect (sluitertijden, lichtmeter etc. Zijn perfect accuraat). De lens i",https://images.marktplaats.com/api/v1/listing-mp-p/images/b6/b69e0e37-909d-43c3-b871-21f74741df1b?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2176014721,52.670340385862,4.7671183037152,200.0,Ophalen of Verzenden,11 okt 24,Ophalen of Verzenden,TheWoekie,False
m2144397966,Mamiya 645 Pro + 80 mm 1.9 + 45mm 2.8,Een mooie mamiya 645 pro te koop. Alles verkeerd in goede werkende staat en er is nog recent mee geschoten. Wat je krijgt mamiya 6,https://images.marktplaats.com/api/v1/listing-mp-p/images/14/14540a01-6b28-4667-b31c-365e8d54ca4f?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2144397966,52.104435306771,4.2771444474937,0.0,Ophalen of Verzenden,7 aug 24,Ophalen of Verzenden,Nico,False
m2162692641,MAMIYA C220,Mamiya,https://images.marktplaats.com/api/v1/listing-mp-p/images/3c/3caa0b50-43d0-452d-85bc-5c4c774b8873?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2162692641,53.005316864747,6.5562719899786,0.0,Ophalen of Verzenden,23 sep 24,Ophalen of Verzenden,Martijn verheul fine line art,False
m2153582514,Mamiya 645 pro set met twee objectieven en accessoires,Mamiya 645 pro body mamiya 80mm 1.9 Mamiya 45mm 2.8 Zoeker met lichtmeter winder grip waist-level finder 2x 120 film cassettes all,https://images.marktplaats.com/api/v1/listing-mp-p/images/25/254cc5e2-02eb-44ce-bbc0-18e08bcbb14a?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2153582514,52.236246719959,6.9017826086082,1500.0,Ophalen,5 sep 24,Ophalen,Lex C.,False
m2130814359,Zeer mooie Mamiya c220 met 65mm 3.5,Mamiya c220 6x6 middenformaat camera. Mamiya sekor 65mm f3.5 Lens. Hele goede staat. Ooit bij een speciaal zaak gekocht. Een paar ,https://images.marktplaats.com/api/v1/listing-mp-p/images/95/95efb0c4-d934-4ee9-926e-ec41ef674f65?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2130814359,52.354259511226,4.8490134181176,450.0,Verzenden,28 jun 24,Verzenden,Rosendaal,False
m2168651983,Mamiya RZ67 pro ii + lenses,Selling my camera that i had since 2019 due to me not using it much lately and wanting to pick up a hasselblad. The camera is work,https://images.marktplaats.com/api/v1/listing-mp-p/images/e4/e4678d8a-5b07-4946-9b4b-72bf6c289675?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2168651983,51.439081154424,5.4708755753556,1200.0,Ophalen,2 okt 24,Ophalen,veniamin,False
m2147733481,Mamiya Press Universal Analoog 6x9 120 220 Film Camera 6 x 9,Mamiya press universal analoog 6x9 120 220 film camera 6 x 9 100mm 100 medium format prachtige camera! Vaste prijs! Bij vragen kun,https://images.marktplaats.com/api/v1/listing-mp-p/images/d4/d4991ab6-cf6f-4a75-9bab-58caa4f1cd36?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2147733481,52.623247346877,4.7399505349611,995.0,Ophalen of Verzenden,17 aug 24,Ophalen of Verzenden,HW,False
m2173109719,Mamiya RZ67 220 film achterwand,"Achterwand voor 220 rolfilm rz67 mamiya, wegens overcompleet doe ik hem weg.",https://images.marktplaats.com/api/v1/listing-mp-p/images/e7/e7e4f45c-b55f-4ce7-b4f4-b32a7739f3b3?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2173109719,52.32956840934,4.8123583095308,0.0,Ophalen of Verzenden,7 okt 24,Ophalen of Verzenden,Danielle,False
m2161221941,Mamiya 645 Super (zeer goede staat),Op zoek naar een krachtige middenformaat camera? Ik verkoop mijn mamiya 645 super in goede staat. Deze camera is perfect voor zowe,https://images.marktplaats.com/api/v1/listing-mp-p/images/4b/4b3cad07-f7ac-444f-bcb3-b0a53ef06226?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2161221941,51.933245093212,4.4666709091051,750.0,Ophalen of Verzenden,21 sep 24,Ophalen of Verzenden,Jordy Brada,False
m2151046771,Mamiya RZ67 pro ii + 150mm f3.5 lens in zeer goede staat,"Ik verkoop mijn zeer geliefde mamiya rz pro ii inclusief viewfinder, 120 filmhouder en 150mm f3.5 Lens. De hele set is in uitsteke",https://images.marktplaats.com/api/v1/listing-mp-p/images/8b/8b80a38e-23d9-4c89-9361-288acf994f16?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2151046771,52.082408939307,5.1282591883525,950.0,Ophalen,26 aug 24,Ophalen,Wouter,False
m2148209575,Mamiya 645 + 80 mm lens & 150 mm lens,"Mamiya analoog camera, werkt nog top.",https://images.marktplaats.com/api/v1/listing-mp-p/images/b0/b0f5a3a1-7814-4d82-bc81-eed21d3d9af5?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2148209575,52.081230431792,4.3287954821551,485.0,Ophalen,18 aug 24,Ophalen,Karima,False
a1375635225,Hasselblad camera's en lenzen,Fotohandel delfshaven is sinds 2009 een unieke camera winkel met passie voor analoog. Onze camera's worden altijd uitvoerig ge,https://mp.images.icas.io/api/v1/a6519ad0/images/0c/0c9b8ec8-d842-4046-b26f-086d8e8943a1?rule=eps_82.JPG,https://link.marktplaats.nl/a1375635225,52.01310729980469,4.360111236572266,0.0,,18 aug 24,Gebruikt,Fotohandel Delfshaven,False
m2147194272,Mamiya 645 1000S Camera.,Mamiya 645 1000s camera. Waist level finder camera met macro c 1:4 f 80mm.                                   Inclusief extra lens.,https://images.marktplaats.com/api/v1/listing-mp-p/images/94/9440a42e-cb68-4b13-9dfa-a1cc600397a0?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2147194272,51.356307908546,4.3931145393876,900.0,Ophalen of Verzenden,15 aug 24,Ophalen of Verzenden,Petrus,False
m2137585684,Mamiya 645,Mamiya 645 mamiya - sekor 80mm f2.8 Mamiya prisma zoeker mamiya grip met ontspanknop.  Hoewel de gebruikssporen functioneerd de ca,https://images.marktplaats.com/api/v1/listing-mp-p/images/83/830f5349-7453-465e-bea4-c5047d9da51a?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2137585684,52.083609670408,5.0929397405953,500.0,Ophalen of Verzenden,20 jul 24,Ophalen of Verzenden,Oscar Brugman,False
m2153176537,Mamiya sekor c 210mm,Zeer nette en werkend. Incl doppen kras en stof vrij. Komt van een m645.,https://images.marktplaats.com/api/v1/listing-mp-p/images/7f/7f7fa25b-bbfd-4837-a668-cb915c342576?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2153176537,52.379791364918,6.482935695992,0.0,Ophalen of Verzenden,1 sep 24,Ophalen of Verzenden,the collector,False
m2169459289,Mamiya analoge spiegelreflex camera met extra telelens,"Voor de liefhebber/verzamelaar: mamiya sekor 500 tl analoge spiegelreflex camera met 28-70 f3,5:4,5 sigma zoom objectief en tokina",https://images.marktplaats.com/api/v1/listing-mp-p/images/25/250ab5b2-17a9-427d-854c-0c9f2fd28a2c?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2169459289,52.085463189676,6.0716826961793,75.0,Ophalen of Verzenden,2 okt 24,Ophalen of Verzenden,ron,False
m2140486063,Mamiya RB67 Pro S with 90mm,Medium format analog camera in perfect working condition. Also selling a prism finder (€170). Pickup amsterdam.,https://images.marktplaats.com/api/v1/listing-mp-p/images/c6/c65f5d1b-035b-446a-9dd3-1ee65298a16d?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2140486063,52.36042861027,4.9069615723103,800.0,Ophalen of Verzenden,26 jul 24,Ophalen of Verzenden,David,False
m2135475146,Mamiya RB67 Pro -S,Te koop: mamiya rb67 pro-s + 6x4.5 Back prijs: 900€ alleen ophalen in tilburg,https://images.marktplaats.com/api/v1/listing-mp-p/images/df/df4f6edf-da5e-4212-8a9f-e12980ce2f0d?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2135475146,51.545235377969,5.0742190503895,900.0,Ophalen,11 jul 24,Ophalen,Jan,False
a1504298562,INKOOP: Oude analoge film cameras. Direct uitbetaald.,Analogue zoekt tweedehands camera's! Bij analogue zijn we gespecialiseerd in de inkoop van hoogwaardige tweedehands fotoappara,https://mp.images.icas.io/api/v1/a6519ad0/images/67/67df8b8d-ac2e-4daf-8cf6-2c6737ebc648?rule=eps_82.JPG,https://link.marktplaats.nl/a1504298562,52.371463775634766,4.903913974761963,0.0,,11 jul 24,Nieuw,Analogue Amsterdam,False
m2140334980,Mamiya 645 J Sekor C 80mm 2.8,Ik heb een van mijn favoriete foto’s gemaakt met deze camera. Omdat ik ben overgestapt op een 6x9 camera ligt deze helaas stil en ,https://images.marktplaats.com/api/v1/listing-mp-p/images/a5/a5f81c9a-806c-4da3-b300-7a40285183bf?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2140334980,52.296082265333,5.2352284262903,0.0,Verzenden,26 jul 24,Verzenden,Martin,False
m2138704958,mamiya MSX500 met lenzen in 1 koop (300),Let op! Ophalen is in zundert. Versturen indien mogelijk is geen enkel probleem. U mag altijd vrijblijvend komen kijken in zundert,https://images.marktplaats.com/api/v1/listing-mp-p/images/97/9778ec31-8f96-44c3-92cc-2019974729e5?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2138704958,51.578509947804,4.7331418789368,0.0,Ophalen of Verzenden,21 jul 24,Ophalen of Verzenden,ini,False
m2142010437,"mamiya press, complete set. één universal en één super 23",Mamiya press. Twee bodies: één body mamiya press universal (voor polariod + polaroid cassete) één body mamiya press super 23 (met ,https://images.marktplaats.com/api/v1/listing-mp-p/images/b7/b707a249-815f-4fdf-8023-a82ac5cbb201?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2142010437,52.3494394417,4.9091145065081,1000.0,Ophalen of Verzenden,31 jul 24,Ophalen of Verzenden,H&W,False
a1000020499,Gezocht / aangeboden mooie Leica apparatuur,Secondhandcamera.nl is gespecialiseerd in mooie occasion fotoapparatuur. Dat betreft de merken: leica ( o.a. Leica m2 m3 m4 m5 m6 ,https://mp.images.icas.io/api/v1/a6519ad0/images/e7/e721ed2f-e839-4a0d-9506-34f14a7b5611?rule=eps_82.JPG,https://link.marktplaats.nl/a1000020499,52.33891677856445,4.917953968048096,0.0,Ophalen of Verzenden,31 jul 24,Ophalen of Verzenden,Secondhandcamera,False
